name;price;duration_minutes
Barter;0;0
Depilacja wÄ…sika;20;15
Frezowanie stĂłp;50;30
Henna i regulacja brwi;60;30
IBX system;120;60
MakijaĹĽ;250;90
Manicure french/babyboomer 1;170;90
Manicure french/babyboomer 2;170;120
Manicure hybrydowy 1;140;90
Manicure hybrydowy 2;140;120
Manicure japoĹ„ski;120;60
Manicure klasyczny;80;60
MasaĹĽ antycellulitowy;190;60
masaĹĽ Combo;240;90
MasaĹĽ dĹ‚oni Ĺ›wiecÄ… na gorÄ…co;40;30
MasaĹĽ klasyczny;160;60
MasaĹĽ Kobido;200;90
MasaĹĽ Lomi Lomi;300;110
MasaĹĽ Lomi Lomi pakiet;1100;440
MasaĹĽ na caĹ‚e ciaĹ‚o;190;60
MasaĹĽ sportowy;190;60
MasaĹĽ tkanek gĹ‚Ä™bokich;200;60
naprawa paznokcia;30;0
naprawa paznokcia;20;0
naprawa paznokcia;10;0
Pedicure french 1;190;90
Pedicure french 2;190;120
Pedicure hybrydowy 1;170;90
Pedicure hybrydowy 2;170;120
Pedicure klasyczny;120;60
podniesienie paznokci rosnÄ…cych w dĂłĹ‚;60;60
PrzedĹ‚uĹĽenie dĹ‚ugie ĹĽel/akryl;260;120
PrzedĹ‚uĹĽenie krĂłtkie ĹĽel/akryl 1;230;90
PrzedĹ‚uĹĽenie krĂłtkie ĹĽel/akryl 2;230;120
Regulacja brwi;30;30
Regulacja brwi;30;20
UzupeĹ‚nienie ĹĽel/ akryl po 4 tyg (dĹ‚ugie);260;120
UzupeĹ‚nienie ĹĽel/ akryl po 4 tyg (krĂłtkie);230;120
UzupeĹ‚nienie ĹĽelu 1;180;90
UzupeĹ‚nienie ĹĽelu 2;180;120
zdj. hybrydy + IBX;140;60
ZdjÄ™cie hybrydy;60;30
zdjÄ™cie hybrydy + mani zwykĹ‚y;120;60
zdjÄ™cie hybrydy + pedi zwykĹ‚y;150;60
ZdjÄ™cie stylizacji ĹĽelowej +mani zwykĹ‚y;140;60
ZdjÄ™cie stylizacji ĹĽelowej z innego salonu;120;60
ZdjÄ™cie stylizacji ĹĽelowej z naszego salonu;100;60
